year	month	day	monthday	link	city	state
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2051.mov")	Washington	District of Columbia
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2062.mov")	Washington	District of Columbia
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2050.MOV")	Washington	District of Columbia
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2052.mov")	Washington	District of Columbia
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2049.MOV")	Washington	District of Columbia
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2061.mov")	Washington	District of Columbia
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2060.mov")	Washington	District of Columbia
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2059.MOV")	Washington	District of Columbia
2014	09	01	Sep 1	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2096.MOV")	Water Mill	New York
2014	09	01	Sep 1	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2120.MOV")	Washington	District of Columbia
2014	09	02	Sep 2	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2145.mov")	Washington	District of Columbia
2014	09	02	Sep 2	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2143.mov")	Washington	District of Columbia
2014	09	01	Sep 1	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2121.MOV")	Water Mill	New York
2014	09	02	Sep 2	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2147.mov")	Washington	District of Columbia
2014	09	01	Sep 1	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2107.MOV")	Water Mill	New York
2014	09	01	Sep 1	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2127.MOV")	Southampton	New York
2014	09	01	Sep 1	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2097.MOV")	Water Mill	New York
2014	09	02	Sep 2	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2163.MOV")	Washington	District of Columbia
2014	09	02	Sep 2	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2164.MOV")	Washington	District of Columbia
